Date,DEXUSEU
2/28/2020,1.1001
3/2/2020,1.1164
3/3/2020,1.1175
3/4/2020,1.113
3/5/2020,1.1202
3/6/2020,1.1319
3/9/2020,1.142
3/10/2020,1.1342
3/11/2020,1.128
3/12/2020,1.1081
3/13/2020,1.1066
3/16/2020,1.1139
3/17/2020,1.0971
3/18/2020,1.0833
3/19/2020,1.0699
3/20/2020,1.0682
3/23/2020,1.076
3/24/2020,1.0794
3/25/2020,1.0835
3/26/2020,1.1025
3/27/2020,1.1059
3/30/2020,1.1018
3/31/2020,1.1016
4/1/2020,1.0934
4/2/2020,1.0862
4/3/2020,1.0797
4/6/2020,1.0808
4/7/2020,1.0886
4/8/2020,1.0864
4/9/2020,1.0931
4/10/2020,1.0951
4/13/2020,1.0906
4/14/2020,1.0971
4/15/2020,1.0909
4/16/2020,1.084
4/17/2020,1.0883
4/20/2020,1.0874
4/21/2020,1.0854
4/22/2020,1.0829
4/23/2020,1.0815
4/24/2020,1.0798
4/27/2020,1.0829
4/28/2020,1.0836
4/29/2020,1.0853
4/30/2020,1.0934
5/1/2020,1.0998
5/4/2020,1.0911
5/5/2020,1.0844
5/6/2020,1.0806
5/7/2020,1.0815
5/8/2020,1.0854
5/11/2020,1.0818
5/12/2020,1.0864
5/13/2020,1.0837
5/14/2020,1.08
5/15/2020,1.0816
5/18/2020,1.0904
5/19/2020,1.0937
5/20/2020,1.098
5/21/2020,1.0953
5/22/2020,1.0894
5/25/2020,1.0894
5/26/2020,1.097
5/27/2020,1.0969
5/28/2020,1.1069
5/29/2020,1.1107
6/1/2020,1.1123
6/2/2020,1.1166
6/3/2020,1.1246
6/4/2020,1.1322
6/5/2020,1.1297
6/8/2020,1.1293
6/9/2020,1.1348
6/10/2020,1.1355
6/11/2020,1.1378
6/12/2020,1.1253
6/15/2020,1.127
6/16/2020,1.1259
6/17/2020,1.1219
6/18/2020,1.1216
6/19/2020,1.1189
6/22/2020,1.126
6/23/2020,1.1322
6/24/2020,1.1272
6/25/2020,1.1221
6/26/2020,1.1215
6/29/2020,1.1237
6/30/2020,1.1237
7/1/2020,1.1259
7/2/2020,1.1237
7/3/2020,1.1237
7/6/2020,1.1307
7/7/2020,1.1299
7/8/2020,1.1329
7/9/2020,1.1298
7/10/2020,1.1318
7/13/2020,1.1364
7/14/2020,1.1406
7/15/2020,1.1406
7/16/2020,1.1433
7/17/2020,1.1438
7/20/2020,1.1442
7/21/2020,1.1495
7/22/2020,1.1587
7/23/2020,1.1623
7/24/2020,1.1635
7/27/2020,1.175
7/28/2020,1.1733
7/29/2020,1.177
7/30/2020,1.1791
7/31/2020,1.1822
8/3/2020,1.175
8/4/2020,1.1766
8/5/2020,1.1898
8/6/2020,1.1856
8/7/2020,1.1776
8/10/2020,1.1756
8/11/2020,1.1764
8/12/2020,1.1796
8/13/2020,1.1818
8/14/2020,1.1833
